RunID,N,K,outLen,mode,padding,cval,time,threads,schedule,chunk
SLURM_29206,10,5,10,same,zero,0,0.000217491,8,static,1
SLURM_29207,100,11,100,same,zero,0,0.000218541,8,static,12
SLURM_29208,100,14,100,same,zero,0,0.000224161,8,static,12
SLURM_29210,100,17,100,same,zero,0,0.000225281,8,static,12
SLURM_29211,100,20,100,same,zero,0,0.000221871,8,static,12
SLURM_29213,110,11,110,same,zero,0,0.000230891,8,static,13
SLURM_29214,110,14,110,same,zero,0,0.000252122,8,static,13
SLURM_29215,110,17,110,same,zero,0,0.000234861,8,static,13
SLURM_29216,110,20,110,same,zero,0,0.000233871,8,static,13
SLURM_29217,120,11,120,same,zero,0,0.000229932,8,static,15
SLURM_29218,120,14,120,same,zero,0,0.000234992,8,static,15
SLURM_29219,120,17,120,same,zero,0,0.000222811,8,static,15
SLURM_29220,120,20,120,same,zero,0,0.000224861,8,static,15
SLURM_29221,130,11,130,same,zero,0,0.000222361,8,static,16
SLURM_29222,130,14,130,same,zero,0,0.000220821,8,static,16
SLURM_29223,130,17,130,same,zero,0,0.000223121,8,static,16
SLURM_29225,130,20,130,same,zero,0,0.000232292,8,static,16
SLURM_29226,140,11,140,same,zero,0,0.000222232,8,static,17
SLURM_29227,140,14,140,same,zero,0,0.000224021,8,static,17
SLURM_29228,140,17,140,same,zero,0,0.000227891,8,static,17
SLURM_29229,140,20,140,same,zero,0,0.000228831,8,static,17
SLURM_29230,150,11,150,same,zero,0,0.000226051,8,static,18
SLURM_29231,150,14,150,same,zero,0,0.000228671,8,static,18
SLURM_29232,150,17,150,same,zero,0,0.000227952,8,static,18
SLURM_29233,150,20,150,same,zero,0,0.000234031,8,static,18
SLURM_29234,160,11,160,same,zero,0,0.000288112,8,static,20
SLURM_29235,160,14,160,same,zero,0,0.000233041,8,static,20
SLURM_29236,160,17,160,same,zero,0,0.000229681,8,static,20
SLURM_29237,160,20,160,same,zero,0,0.000229722,8,static,20
SLURM_29238,170,11,170,same,zero,0,0.000225821,8,static,21
SLURM_29239,170,14,170,same,zero,0,0.000229012,8,static,21
SLURM_29240,170,17,170,same,zero,0,0.000232481,8,static,21
SLURM_29241,170,20,170,same,zero,0,0.000238892,8,static,21
SLURM_29242,180,11,180,same,zero,0,0.000230991,8,static,22
SLURM_29243,180,14,180,same,zero,0,0.000231881,8,static,22
SLURM_29244,180,17,180,same,zero,0,0.000230101,8,static,22
SLURM_29245,180,20,180,same,zero,0,0.000236542,8,static,22
SLURM_29246,190,11,190,same,zero,0,0.000229971,8,static,23
SLURM_29247,190,14,190,same,zero,0,0.000234001,8,static,23
SLURM_29248,190,17,190,same,zero,0,0.000238351,8,static,23
SLURM_29249,190,20,190,same,zero,0,0.000238521,8,static,23
SLURM_29250,200,11,200,same,zero,0,0.000227512,8,static,25
SLURM_29251,200,14,200,same,zero,0,0.000232532,8,static,25
SLURM_29252,200,17,200,same,zero,0,0.000234942,8,static,25
SLURM_29253,200,20,200,same,zero,0,0.000232131,8,static,25
SLURM_29254,210,11,210,same,zero,0,0.000226151,8,static,26
SLURM_29255,210,14,210,same,zero,0,0.000232122,8,static,26
SLURM_29256,210,17,210,same,zero,0,0.000231611,8,static,26
SLURM_29257,210,20,210,same,zero,0,0.000234952,8,static,26
SLURM_29258,220,11,220,same,zero,0,0.000236031,8,static,27
SLURM_29259,220,14,220,same,zero,0,0.000229231,8,static,27
SLURM_29260,220,17,220,same,zero,0,0.000231682,8,static,27
SLURM_29261,220,20,220,same,zero,0,0.000235402,8,static,27
SLURM_29262,230,11,230,same,zero,0,0.000292542,8,static,28
SLURM_29263,230,14,230,same,zero,0,0.000230121,8,static,28
SLURM_29264,230,17,230,same,zero,0,0.000238951,8,static,28
SLURM_29265,230,20,230,same,zero,0,0.000234131,8,static,28
SLURM_29266,240,11,240,same,zero,0,0.000238821,8,static,30
SLURM_29267,240,14,240,same,zero,0,0.000232432,8,static,30
SLURM_29268,240,17,240,same,zero,0,0.000243062,8,static,30
SLURM_29269,240,20,240,same,zero,0,0.000233752,8,static,30
SLURM_29270,250,11,250,same,zero,0,0.000226781,8,static,31
SLURM_29271,250,14,250,same,zero,0,0.000233071,8,static,31
SLURM_29272,250,17,250,same,zero,0,0.000237011,8,static,31
SLURM_29273,250,20,250,same,zero,0,0.000239391,8,static,31
SLURM_29274,260,11,260,same,zero,0,0.000231882,8,static,32
SLURM_29275,260,14,260,same,zero,0,0.000231271,8,static,32
SLURM_29276,260,17,260,same,zero,0,0.000233211,8,static,32
SLURM_29296,107040,3072,107040,same,zero,0,0.1214522,8,static,13380
SLURM_29297,107040,4096,107040,same,zero,0,0.162300591,8,static,13380
SLURM_29298,107040,5120,107040,same,zero,0,0.201799711,8,static,13380
SLURM_29299,107040,6144,107040,same,zero,0,0.242258265,8,static,13380
SLURM_29300,107040,7168,107040,same,zero,0,0.282096097,8,static,13380
SLURM_29301,107040,8192,107040,same,zero,0,0.323923008,8,static,13380
SLURM_29302,107040,9216,107040,same,zero,0,0.363206952,8,static,13380
SLURM_29303,107040,10240,107040,same,zero,0,0.403026069,8,static,13380
SLURM_29205,1000000,10001,1000000,same,zero,0,2.361929844,8,static,125000
SLURM_29277,1000000,10001,1000000,same,zero,0,0.310086549,96,static,10416
SLURM_29278,1070409999,3072,1070409999,same,zero,0,1207.626579785,8,static,133801249
SLURM_29285,1070409999,4096,1070409999,same,zero,0,1610.647590588,8,static,133801249
SLURM_29322,1070409999,6099,1070409999,same,zero,0,206.794888615,96,static,11150104
SLURM_29327,1070409999,6099,1070409999,same,zero,0,2402.935873491,8,static,133801249
SLURM_29356,1070409999,8399,1070409999,same,zero,0,3368.069073919,8,static,133801249
