RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,time
SLURM_29406,128,128,3,3,128,128,conv,same,zero,0,0.000110271
SLURM_29407,128,128,3,5,128,128,conv,same,zero,0,0.000131861
SLURM_29408,128,128,3,7,128,128,conv,same,zero,0,0.000166691
SLURM_29409,128,128,5,3,128,128,conv,same,zero,0,0.000152871
SLURM_29410,128,128,5,5,128,128,conv,same,zero,0,0.000208881
SLURM_29411,128,128,5,7,128,128,conv,same,zero,0,0.000274211
SLURM_29412,128,128,7,3,128,128,conv,same,zero,0,0.000199351
SLURM_29413,128,128,7,5,128,128,conv,same,zero,0,0.000307922
SLURM_29414,128,128,7,7,128,128,conv,same,zero,0,0.000422632
SLURM_29416,12800,12800,30,30,12800,12800,conv,same,zero,0,105.544539491
SLURM_29417,12800,12800,30,50,12800,12800,conv,same,zero,0,177.620286896
SLURM_29426,12800,12800,30,70,12800,12800,conv,same,zero,0,249.629511
SLURM_29430,12800,12800,50,30,12800,12800,conv,same,zero,0,177.580669428
SLURM_29427,1130,1130,1130,1130,1130,1130,conv,same,zero,0,2701.947697045
SLURM_29431,12800,12800,50,50,12800,12800,conv,same,zero,0,297.613685013
SLURM_29442,12800,12800,50,70,12800,12800,conv,same,zero,0,418.158831068
SLURM_29451,12800,12800,70,30,12800,12800,conv,same,zero,0,250.116320439
SLURM_29456,12800,12800,70,50,12800,12800,conv,same,zero,0,418.76707134
SLURM_29486,12800,12800,70,70,12800,12800,conv,same,zero,0,586.310060527
SLURM_29493,12800,19200,30,30,12800,19200,conv,same,zero,0,158.833467747
SLURM_29495,12800,19200,30,50,12800,19200,conv,same,zero,0,266.843254048
SLURM_29498,12800,19200,30,70,12800,19200,conv,same,zero,0,375.093042626
SLURM_29500,12800,19200,50,30,12800,19200,conv,same,zero,0,266.600360133
SLURM_29503,12800,19200,50,50,12800,19200,conv,same,zero,0,447.256353365
SLURM_29507,12800,19200,50,70,12800,19200,conv,same,zero,0,628.332208009
SLURM_29518,12800,19200,70,30,12800,19200,conv,same,zero,0,1516.209738397
SLURM_29549,12800,19200,70,50,12800,19200,conv,same,zero,0,2528.254730317
SLURM_29580,12800,19200,70,70,12800,19200,conv,same,zero,0,3503.524303611
