RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,time_s,gflops,threads,schedule,chunk
SLURM_29782,12800,19200,30,70,12800,19200,conv,same,zero,0,188.779647961,5.467708,8,static,7680000
SLURM_29783,1280,1920,30,70,1280,1920,conv,same,zero,0,1.872225322,5.513183,8,static,76800
SLURM_29784,1280,1920,70,70,1280,1920,conv,same,zero,0,4.369695865,5.511706,8,static,76800
SLURM_29785,12800,19200,70,70,12800,19200,conv,same,zero,0,440.310981253,5.469879,8,static,7680000
SLURM_29786,12800,19200,100,100,12800,19200,conv,same,zero,0,899.965187343,5.461545,8,static,7680000
SLURM_29873,12800,19200,200,200,12800,19200,conv,same,zero,0,4408.524799999,5.456896,8,static,7680000
SLURM_29802,12800,19200,30,70,12800,19200,conv,same,zero,0,188.773922867,5.467874,8,dynamic,7680000
SLURM_29803,1280,1920,30,70,1280,1920,conv,same,zero,0,1.870698621,5.517682,8,dynamic,76800
SLURM_29804,1280,1920,70,70,1280,1920,conv,same,zero,0,4.371017987,5.510039,8,dynamic,76800
SLURM_29805,12800,19200,70,70,12800,19200,conv,same,zero,0,440.374716157,5.469088,8,dynamic,7680000
SLURM_29806,12800,19200,100,100,12800,19200,conv,same,zero,0,899.912988098,5.461861,8,dynamic,7680000
SLURM_29875,12800,19200,200,200,12800,19200,conv,same,zero,0,4408.514799819,5.456896,8,dynamic,7680000
