RunID,H,W,KH,KW,outH,outW,op,mode,padding,cval,sH,sW,time,gflops
SLURM_48340,1024,1024,3,3,1024,1024,conv,same,zero,0,1,1,0.006694591,2.819346
SLURM_48341,1024,1024,3,5,1024,1024,conv,same,zero,0,1,1,0.009326474,3.372902
SLURM_48342,1024,1024,3,7,1024,1024,conv,same,zero,0,1,1,0.011248508,3.915203
SLURM_48343,1024,1024,3,9,1024,1024,conv,same,zero,0,1,1,0.013698166,4.133627
SLURM_48344,1024,1024,3,11,1024,1024,conv,same,zero,0,1,1,0.016493195,4.196035
SLURM_48345,1024,1024,5,3,1024,1024,conv,same,zero,0,1,1,0.009586571,3.28139
SLURM_48346,1024,1024,5,5,1024,1024,conv,same,zero,0,1,1,0.014453818,3.627332
SLURM_48347,1024,1024,5,7,1024,1024,conv,same,zero,0,1,1,0.018275696,4.01628
SLURM_48348,1024,1024,5,9,1024,1024,conv,same,zero,0,1,1,0.025640295,3.680607
SLURM_48349,1024,1024,5,11,1024,1024,conv,same,zero,0,1,1,0.031028732,3.717308
SLURM_48350,1024,1024,7,3,1024,1024,conv,same,zero,0,1,1,0.013126813,3.35498
SLURM_48351,1024,1024,7,5,1024,1024,conv,same,zero,0,1,1,0.02113786,3.472457
SLURM_48352,1024,1024,7,7,1024,1024,conv,same,zero,0,1,1,0.030930992,3.322249
SLURM_48353,1024,1024,7,9,1024,1024,conv,same,zero,0,1,1,0.035387687,3.733518
SLURM_48354,1024,1024,7,11,1024,1024,conv,same,zero,0,1,1,0.043240343,3.734492
SLURM_48355,1024,1024,9,3,1024,1024,conv,same,zero,0,1,1,0.020038377,2.825733
SLURM_48356,1024,1024,9,5,1024,1024,conv,same,zero,0,1,1,0.030514661,3.092672
SLURM_48357,1024,1024,9,7,1024,1024,conv,same,zero,0,1,1,0.039845712,3.315804
SLURM_48358,1024,1024,9,9,1024,1024,conv,same,zero,0,1,1,0.049478573,3.433189
SLURM_48359,1024,1024,9,11,1024,1024,conv,same,zero,0,1,1,0.062122915,3.342053
SLURM_48360,1024,1024,11,3,1024,1024,conv,same,zero,0,1,1,0.027591882,2.508202
SLURM_48361,1024,1024,11,5,1024,1024,conv,same,zero,0,1,1,0.036858262,3.129376
SLURM_48362,1024,1024,11,7,1024,1024,conv,same,zero,0,1,1,0.046890376,3.443792
SLURM_48363,1024,1024,11,9,1024,1024,conv,same,zero,0,1,1,0.06053996,3.429438
SLURM_48364,1024,1024,11,11,1024,1024,conv,same,zero,0,1,1,0.077439416,3.276825
SLURM_48365,1024,2048,3,3,1024,2048,conv,same,zero,0,1,1,0.013234394,2.852321
SLURM_48366,1024,2048,3,5,1024,2048,conv,same,zero,0,1,1,0.017620978,3.570435
SLURM_48367,1024,2048,3,7,1024,2048,conv,same,zero,0,1,1,0.021667761,4.065043
SLURM_48368,1024,2048,3,9,1024,2048,conv,same,zero,0,1,1,0.026558458,4.264036
SLURM_48369,1024,2048,3,11,1024,2048,conv,same,zero,0,1,1,0.034156603,4.052277
SLURM_48370,1024,2048,5,3,1024,2048,conv,same,zero,0,1,1,0.019218744,3.273604
SLURM_48371,1024,2048,5,5,1024,2048,conv,same,zero,0,1,1,0.028328224,3.701524
SLURM_48372,1024,2048,5,7,1024,2048,conv,same,zero,0,1,1,0.035917759,4.087132
SLURM_48373,1024,2048,5,9,1024,2048,conv,same,zero,0,1,1,0.050352816,3.748424
SLURM_48374,1024,2048,5,11,1024,2048,conv,same,zero,0,1,1,0.061159262,3.771902
SLURM_48375,1024,2048,7,3,1024,2048,conv,same,zero,0,1,1,0.025372624,3.471473
SLURM_48376,1024,2048,7,5,1024,2048,conv,same,zero,0,1,1,0.041355307,3.549741
SLURM_48377,1024,2048,7,7,1024,2048,conv,same,zero,0,1,1,0.056259396,3.653095
SLURM_48378,1024,2048,7,9,1024,2048,conv,same,zero,0,1,1,0.069728421,3.789576
SLURM_48379,1024,2048,7,11,1024,2048,conv,same,zero,0,1,1,0.086166066,3.748128
SLURM_48380,1024,2048,9,3,1024,2048,conv,same,zero,0,1,1,0.037011922,3.059722
SLURM_48381,1024,2048,9,5,1024,2048,conv,same,zero,0,1,1,0.058050052,3.251396
SLURM_48382,1024,2048,9,7,1024,2048,conv,same,zero,0,1,1,0.077039775,3.429932
SLURM_48383,1024,2048,9,9,1024,2048,conv,same,zero,0,1,1,0.097218352,3.494594
SLURM_48384,1024,2048,9,11,1024,2048,conv,same,zero,0,1,1,0.123076448,3.373806
SLURM_48385,1024,2048,11,3,1024,2048,conv,same,zero,0,1,1,0.051912832,2.666239
SLURM_48386,1024,2048,11,5,1024,2048,conv,same,zero,0,1,1,0.070959365,3.250969
SLURM_48387,1024,2048,11,7,1024,2048,conv,same,zero,0,1,1,0.092275816,3.499957
SLURM_48388,1024,2048,11,9,1024,2048,conv,same,zero,0,1,1,0.120008937,3.460043
SLURM_48389,1024,2048,11,11,1024,2048,conv,same,zero,0,1,1,0.15404172,3.294632
SLURM_48390,1024,3072,3,3,1024,3072,conv,same,zero,0,1,1,0.019686955,2.876174
SLURM_48391,1024,3072,3,5,1024,3072,conv,same,zero,0,1,1,0.026828209,3.517635
SLURM_48392,1024,3072,3,7,1024,3072,conv,same,zero,0,1,1,0.032084876,4.117846
SLURM_48393,1024,3072,3,9,1024,3072,conv,same,zero,0,1,1,0.039462881,4.304534
SLURM_48394,1024,3072,3,11,1024,3072,conv,same,zero,0,1,1,0.049000962,4.23702
SLURM_48395,1024,3072,5,3,1024,3072,conv,same,zero,0,1,1,0.027920863,3.379976
SLURM_48396,1024,3072,5,5,1024,3072,conv,same,zero,0,1,1,0.04209256,3.736679
SLURM_48397,1024,3072,5,7,1024,3072,conv,same,zero,0,1,1,0.053723578,4.098777
SLURM_48398,1024,3072,5,9,1024,3072,conv,same,zero,0,1,1,0.075017698,3.773983
SLURM_48399,1024,3072,5,11,1024,3072,conv,same,zero,0,1,1,0.091200639,3.794163
SLURM_48400,1024,3072,7,3,1024,3072,conv,same,zero,0,1,1,0.037501426,3.523081
