RunID,N,K,outLen,mode,padding,cval,time
SLURM_15922,1,7,1,same,zero,0,2.07e-06
SLURM_15923,1,8,1,same,zero,0,3.03e-06
SLURM_15924,1,9,1,same,zero,0,2.51e-06
SLURM_15925,1,10,1,same,zero,0,3.12e-06
SLURM_15926,2,1,2,same,zero,0,2.88e-06
SLURM_15927,2,2,2,same,zero,0,1.71e-06
SLURM_15928,2,3,2,same,zero,0,2.32e-06
SLURM_15933,2,8,2,same,zero,0,1.87e-06
SLURM_15934,2,9,2,same,zero,0,1.86e-06
SLURM_15935,2,10,2,same,zero,0,2.05e-06
SLURM_15936,3,1,3,same,zero,0,2.02e-06
SLURM_15938,3,3,3,same,zero,0,3.25e-06
SLURM_15939,3,4,3,same,zero,0,2.27e-06
SLURM_15940,3,5,3,same,zero,0,1.81e-06
SLURM_15941,3,6,3,same,zero,0,1.78e-06
SLURM_15942,3,7,3,same,zero,0,1.87e-06
SLURM_15943,3,8,3,same,zero,0,2.01e-06
SLURM_15944,3,9,3,same,zero,0,1.82e-06
SLURM_15945,3,10,3,same,zero,0,2.73e-06
SLURM_15946,4,1,4,same,zero,0,2.22e-06
SLURM_15947,4,2,4,same,zero,0,2.09e-06
SLURM_15948,4,3,4,same,zero,0,2.13e-06
SLURM_15949,4,4,4,same,zero,0,2.01e-06
SLURM_15950,4,5,4,same,zero,0,3.16e-06
SLURM_15951,4,6,4,same,zero,0,2.48e-06
SLURM_15952,4,7,4,same,zero,0,2.55e-06
SLURM_15953,4,8,4,same,zero,0,2.4e-06
SLURM_15954,4,9,4,same,zero,0,1.98e-06
SLURM_15955,4,10,4,same,zero,0,2.11e-06
SLURM_15956,5,1,5,same,zero,0,1.52e-06
SLURM_15957,5,2,5,same,zero,0,1.97e-06
SLURM_15958,5,3,5,same,zero,0,2.36e-06
SLURM_15959,5,4,5,same,zero,0,1.86e-06
SLURM_15960,5,5,5,same,zero,0,3.21e-06
SLURM_15961,5,6,5,same,zero,0,2.35e-06
SLURM_15962,5,7,5,same,zero,0,2.13e-06
SLURM_15963,5,8,5,same,zero,0,2.77e-06
SLURM_15964,5,9,5,same,zero,0,1.88e-06
SLURM_15965,5,10,5,same,zero,0,2.12e-06
SLURM_15966,6,1,6,same,zero,0,1.75e-06
SLURM_15967,6,2,6,same,zero,0,2.23e-06
SLURM_15968,6,3,6,same,zero,0,2.04e-06
SLURM_15969,6,4,6,same,zero,0,2.35e-06
SLURM_15970,6,5,6,same,zero,0,2.86e-06
SLURM_15971,6,6,6,same,zero,0,2.14e-06
SLURM_15972,6,7,6,same,zero,0,2.13e-06
SLURM_15973,6,8,6,same,zero,0,2.1e-06
SLURM_15974,6,9,6,same,zero,0,2.14e-06
SLURM_15975,6,10,6,same,zero,0,2.43e-06
SLURM_15976,7,1,7,same,zero,0,3.78e-06
SLURM_15977,7,2,7,same,zero,0,3.6e-06
SLURM_15978,7,3,7,same,zero,0,3.48e-06
SLURM_15979,7,4,7,same,zero,0,3.66e-06
SLURM_15980,7,5,7,same,zero,0,2.49e-06
SLURM_15981,7,6,7,same,zero,0,2.38e-06
SLURM_15982,7,7,7,same,zero,0,3.9e-06
SLURM_15983,7,8,7,same,zero,0,2.69e-06
SLURM_15984,7,9,7,same,zero,0,4.47e-06
SLURM_15985,7,10,7,same,zero,0,3.91e-06
SLURM_15986,8,1,8,same,zero,0,2.13e-06
SLURM_15987,8,2,8,same,zero,0,3.55e-06
SLURM_15988,8,3,8,same,zero,0,4.8e-06
SLURM_15989,8,4,8,same,zero,0,3.83e-06
SLURM_15990,8,5,8,same,zero,0,3.48e-06
SLURM_15991,8,6,8,same,zero,0,2.38e-06
SLURM_15992,8,7,8,same,zero,0,2.55e-06
SLURM_15993,8,8,8,same,zero,0,4.57e-06
SLURM_15994,8,9,8,same,zero,0,3.07e-06
SLURM_15995,8,10,8,same,zero,0,2.49e-06
SLURM_15996,9,1,9,same,zero,0,2.47e-06
SLURM_15997,9,2,9,same,zero,0,1.96e-06
SLURM_15998,9,3,9,same,zero,0,2.31e-06
SLURM_15999,9,4,9,same,zero,0,2.47e-06
SLURM_16000,9,5,9,same,zero,0,3.8e-06
SLURM_16001,9,6,9,same,zero,0,2.19e-06
SLURM_16002,9,7,9,same,zero,0,3.1e-06
SLURM_16003,9,8,9,same,zero,0,3.49e-06
SLURM_16004,9,9,9,same,zero,0,2.75e-06
SLURM_16005,9,10,9,same,zero,0,2.94e-06
SLURM_16006,10,1,10,same,zero,0,1.55e-06
SLURM_16007,10,2,10,same,zero,0,1.79e-06
SLURM_16008,10,3,10,same,zero,0,2.19e-06
SLURM_16009,10,4,10,same,zero,0,2.23e-06
SLURM_16010,10,5,10,same,zero,0,3.46e-06
SLURM_16011,10,6,10,same,zero,0,2.61e-06
SLURM_16012,10,7,10,same,zero,0,1.85e-06
SLURM_16013,10,8,10,same,zero,0,4.15e-06
SLURM_16014,10,9,10,same,zero,0,4.41e-06
SLURM_16015,10,10,10,same,zero,0,2.46e-06
SLURM_16022,11,11,11,same,zero,0,2.49e-06
SLURM_16023,11,12,11,same,zero,0,3.16e-06
SLURM_16024,11,13,11,same,zero,0,2.63e-06
SLURM_16025,11,14,11,same,zero,0,4.68e-06
SLURM_16026,11,15,11,same,zero,0,2.64e-06
SLURM_16027,11,16,11,same,zero,0,2.72e-06
SLURM_16028,11,17,11,same,zero,0,3.66e-06
SLURM_16029,11,18,11,same,zero,0,2.8e-06
SLURM_16030,11,19,11,same,zero,0,3.32e-06
SLURM_16031,11,20,11,same,zero,0,2.65e-06
SLURM_16032,11,21,11,same,zero,0,4.56e-06
SLURM_16033,11,22,11,same,zero,0,3.09e-06
SLURM_16034,11,23,11,same,zero,0,2.56e-06
SLURM_16035,11,24,11,same,zero,0,3.1e-06
SLURM_16036,11,25,11,same,zero,0,3.56e-06
SLURM_16037,11,26,11,same,zero,0,3.11e-06
SLURM_16038,11,27,11,same,zero,0,3.07e-06
SLURM_16039,11,28,11,same,zero,0,2.77e-06
SLURM_16040,11,29,11,same,zero,0,2.97e-06
SLURM_16041,11,30,11,same,zero,0,4.34e-06
SLURM_16042,11,31,11,same,zero,0,3.05e-06
SLURM_16043,11,32,11,same,zero,0,2.52e-06
SLURM_16044,11,33,11,same,zero,0,3.73e-06
SLURM_16045,11,34,11,same,zero,0,2.55e-06
SLURM_16046,11,35,11,same,zero,0,3.41e-06
SLURM_16047,11,36,11,same,zero,0,3.35e-06
SLURM_16048,11,37,11,same,zero,0,3.01e-06
SLURM_16049,11,38,11,same,zero,0,3.28e-06
SLURM_16050,11,39,11,same,zero,0,3.39e-06
SLURM_16051,11,40,11,same,zero,0,3.13e-06
SLURM_16052,11,41,11,same,zero,0,2.58e-06
SLURM_16053,11,42,11,same,zero,0,3.12e-06
SLURM_16054,11,43,11,same,zero,0,2.75e-06
SLURM_16055,11,44,11,same,zero,0,2.68e-06
SLURM_16056,11,45,11,same,zero,0,3.99e-06
SLURM_16057,11,46,11,same,zero,0,3.22e-06
SLURM_16058,11,47,11,same,zero,0,3.06e-06
SLURM_16059,11,48,11,same,zero,0,4.49e-06
SLURM_16060,11,49,11,same,zero,0,3.05e-06
SLURM_16061,11,50,11,same,zero,0,4.1e-06
SLURM_16062,11,51,11,same,zero,0,4.04e-06
SLURM_16063,11,52,11,same,zero,0,3.34e-06
SLURM_16064,11,53,11,same,zero,0,3.28e-06
SLURM_16065,11,54,11,same,zero,0,3.35e-06
SLURM_16066,11,55,11,same,zero,0,3.25e-06
SLURM_16067,11,56,11,same,zero,0,3.95e-06
SLURM_16068,11,57,11,same,zero,0,4.01e-06
SLURM_16069,11,58,11,same,zero,0,2.87e-06
SLURM_16070,11,59,11,same,zero,0,4.13e-06
SLURM_16071,11,60,11,same,zero,0,3.02e-06
SLURM_16072,11,61,11,same,zero,0,3.06e-06
SLURM_16073,11,62,11,same,zero,0,4.05e-06
SLURM_16074,11,63,11,same,zero,0,3.2e-06
SLURM_16075,11,64,11,same,zero,0,3.18e-06
SLURM_16076,11,65,11,same,zero,0,3.27e-06
SLURM_16077,11,66,11,same,zero,0,3.55e-06
SLURM_16078,11,67,11,same,zero,0,3.01e-06
SLURM_16079,11,68,11,same,zero,0,3.5e-06
SLURM_16080,11,69,11,same,zero,0,3.53e-06
SLURM_16081,11,70,11,same,zero,0,3.42e-06
SLURM_16082,11,71,11,same,zero,0,3.09e-06
SLURM_16083,11,72,11,same,zero,0,3.08e-06
SLURM_16084,11,73,11,same,zero,0,3.69e-06
SLURM_16085,11,74,11,same,zero,0,3.17e-06
SLURM_16086,11,75,11,same,zero,0,3.64e-06
SLURM_16087,11,76,11,same,zero,0,3.36e-06
SLURM_16088,11,77,11,same,zero,0,4.95e-06
SLURM_16089,11,78,11,same,zero,0,4.46e-06
SLURM_16090,11,79,11,same,zero,0,3.36e-06
SLURM_16091,11,80,11,same,zero,0,5.56e-06
SLURM_16092,11,81,11,same,zero,0,4.37e-06
SLURM_16093,11,82,11,same,zero,0,5.09e-06
SLURM_16094,11,83,11,same,zero,0,3.72e-06
SLURM_16095,11,84,11,same,zero,0,3.66e-06
SLURM_16096,11,85,11,same,zero,0,3.86e-06
SLURM_16097,11,86,11,same,zero,0,5.06e-06
SLURM_16098,11,87,11,same,zero,0,3.51e-06
SLURM_16099,11,88,11,same,zero,0,3.61e-06
SLURM_16100,11,89,11,same,zero,0,4.83e-06
SLURM_16101,11,90,11,same,zero,0,4.44e-06
SLURM_16102,11,91,11,same,zero,0,5.03e-06
SLURM_16103,11,92,11,same,zero,0,4.79e-06
SLURM_16104,11,93,11,same,zero,0,5.27e-06
SLURM_16105,11,94,11,same,zero,0,3.62e-06
SLURM_16106,11,95,11,same,zero,0,4.69e-06
SLURM_16107,11,96,11,same,zero,0,3.78e-06
SLURM_16108,11,97,11,same,zero,0,3.54e-06
SLURM_16109,11,98,11,same,zero,0,3.77e-06
SLURM_16110,11,99,11,same,zero,0,3.41e-06
SLURM_16111,11,100,11,same,zero,0,3.81e-06
SLURM_16112,12,11,12,same,zero,0,2.2e-06
SLURM_16113,12,12,12,same,zero,0,2.61e-06
SLURM_16114,12,13,12,same,zero,0,2.13e-06
SLURM_16115,12,14,12,same,zero,0,3.67e-06
SLURM_16116,12,15,12,same,zero,0,2.66e-06
SLURM_16117,12,16,12,same,zero,0,3.09e-06
SLURM_16118,12,17,12,same,zero,0,2.87e-06
SLURM_16119,12,18,12,same,zero,0,2.71e-06
SLURM_16120,12,19,12,same,zero,0,3.2e-06
SLURM_16121,12,20,12,same,zero,0,2.4e-06
SLURM_16122,12,21,12,same,zero,0,3.25e-06
SLURM_16123,12,22,12,same,zero,0,3.28e-06
SLURM_16124,12,23,12,same,zero,0,3.82e-06
SLURM_16125,12,24,12,same,zero,0,3.48e-06
SLURM_16126,12,25,12,same,zero,0,3.15e-06
SLURM_16127,12,26,12,same,zero,0,3.5e-06
SLURM_16128,12,27,12,same,zero,0,4.1e-06
SLURM_16129,12,28,12,same,zero,0,2.98e-06
SLURM_16130,12,29,12,same,zero,0,3.37e-06
SLURM_16131,12,30,12,same,zero,0,3.22e-06
SLURM_16132,12,31,12,same,zero,0,3.08e-06
SLURM_16133,12,32,12,same,zero,0,3.74e-06
SLURM_16134,12,33,12,same,zero,0,2.59e-06
SLURM_16135,12,34,12,same,zero,0,2.89e-06
SLURM_16136,12,35,12,same,zero,0,3.52e-06
SLURM_16137,12,36,12,same,zero,0,3.04e-06
SLURM_16138,12,37,12,same,zero,0,2.98e-06
SLURM_16139,12,38,12,same,zero,0,3.18e-06
SLURM_16140,12,39,12,same,zero,0,2.97e-06
SLURM_16141,12,40,12,same,zero,0,3.47e-06
SLURM_16142,12,41,12,same,zero,0,3.53e-06
SLURM_16143,12,42,12,same,zero,0,4.35e-06
SLURM_16144,12,43,12,same,zero,0,2.69e-06
SLURM_16145,12,44,12,same,zero,0,3.42e-06
SLURM_16146,12,45,12,same,zero,0,3.21e-06
SLURM_16147,12,46,12,same,zero,0,4.48e-06
SLURM_16148,12,47,12,same,zero,0,3.37e-06
SLURM_16149,12,48,12,same,zero,0,3.13e-06
SLURM_16150,12,49,12,same,zero,0,3.67e-06
SLURM_16151,12,50,12,same,zero,0,3.59e-06
SLURM_16152,12,51,12,same,zero,0,3.59e-06
SLURM_16153,12,52,12,same,zero,0,3.23e-06
SLURM_16154,12,53,12,same,zero,0,2.91e-06
SLURM_16155,12,54,12,same,zero,0,3.84e-06
SLURM_16156,12,55,12,same,zero,0,3.63e-06
SLURM_16157,12,56,12,same,zero,0,3.86e-06
SLURM_16158,12,57,12,same,zero,0,3.36e-06
SLURM_16159,12,58,12,same,zero,0,3.34e-06
SLURM_16160,12,59,12,same,zero,0,3.98e-06
SLURM_16161,12,60,12,same,zero,0,3.78e-06
SLURM_16162,12,61,12,same,zero,0,3.4e-06
SLURM_16163,12,62,12,same,zero,0,3.53e-06
SLURM_16164,12,63,12,same,zero,0,3.5e-06
SLURM_16165,12,64,12,same,zero,0,3.54e-06
SLURM_16166,12,65,12,same,zero,0,3.45e-06
SLURM_16167,12,66,12,same,zero,0,4.43e-06
SLURM_16168,12,67,12,same,zero,0,4.401e-06
SLURM_16169,12,68,12,same,zero,0,4.98e-06
SLURM_16170,12,69,12,same,zero,0,3.54e-06
SLURM_16171,12,70,12,same,zero,0,5.22e-06
SLURM_16172,12,71,12,same,zero,0,4.45e-06
SLURM_16173,12,72,12,same,zero,0,5.03e-06
SLURM_16174,12,73,12,same,zero,0,4.7e-06
SLURM_16175,12,74,12,same,zero,0,4.34e-06
